MJD,ABmag,emag,band
56211.89,13.829999999999998,0.03,U
56211.89,13.92,0.02,V
56212.03,14.12,0.06,I
56212.03,13.889999999999999,0.06,V
56212.1965,14.195,0.040999999999999995,UVW1
56212.1976,13.539000000000001,0.04,U
56212.1981,13.805,0.040999999999999995,B
56212.1997,14.529000000000002,0.040999999999999995,UVW2
56212.2,13.82,0.05,B
56212.2,13.559999999999999,0.05,U
56212.2,14.24,0.05,UVM2
56212.2,14.25,0.05,UVW1
56212.2,14.49,0.05,UVW2
56212.2,13.959999999999999,0.05,V
56212.2013,13.895,0.049,V
56212.2036,14.242999999999999,0.040999999999999995,UVM2
56212.24,15.17,0.04,H
56212.24,14.89,0.07,J
56212.25,14.74,0.17,H
56212.25,14.56,0.18,J
56212.25,15.23,0.27,KS
56212.3804,14.558,0.04,UVW2
56213.03,14.11,0.05,I
56213.03,13.950000000000001,0.03,R
56213.03,13.889999999999999,0.01,V
56213.08,14.04,0.11,I
56213.08,13.879999999999999,0.06,V
56213.88,13.870000000000001,0.02,B
56213.88,14.129999999999999,0.02,I
56213.88,13.920000000000002,0.01,R
56213.88,13.809999999999999,0.03,U
56213.88,13.93,0.02,V
56214.13,13.89,0.05,B
56214.13,13.649999999999999,0.05,U
56214.13,14.37,0.05,UVM2
56214.13,14.33,0.05,UVW1
56214.13,14.63,0.05,UVW2
56214.13,13.95,0.05,V
56214.1337,14.274000000000001,0.040999999999999995,UVW1
56214.1351,13.620000000000001,0.04,U
56214.1358,13.874,0.040999999999999995,B
56214.1379,14.662,0.040999999999999995,UVW2
56214.14,13.87,0.047,V
56214.1431,14.369,0.040999999999999995,UVM2
56214.2527,14.703,0.040999999999999995,UVW2
56215.24,13.92,0.01,B
56215.24,14.17,0.01,I
56215.24,14.0,0.01,R
56215.24,13.940000000000001,0.02,U
56215.24,13.99,0.01,V
56215.61,14.0,0.01,R
56216.02,14.0,0.01,B
56216.02,14.239999999999998,0.01,I
56216.02,14.08,0.01,R
56216.02,14.010000000000002,0.01,U
56216.02,14.08,0.01,V
56216.21,14.05,0.05,B
56216.21,13.86,0.05,U
56216.21,14.809999999999999,0.05,UVM2
56216.21,14.84,0.05,UVW1
56216.21,15.120000000000001,0.05,UVW2
56216.21,14.09,0.05,V
56216.23,14.02,0.02,B
56216.23,14.19,0.01,I
56216.23,14.0,0.02,R
56216.23,14.02,0.03,V
56216.272,14.075999999999999,0.045,B
56216.3879,15.200999999999999,0.042,UVW2
56216.4051,14.855999999999998,0.057,UVM2
56216.71,14.07,0.05,B
56216.71,14.129999999999999,0.05,U
56216.71,14.809999999999999,0.05,UVM2
56216.71,14.84,0.05,UVW1
56216.71,15.120000000000001,0.05,UVW2
56216.71,14.049999999999999,0.05,V
56216.77,14.19,0.05,B
56216.87,15.27,0.05,UVW2
56216.9,14.979999999999999,0.06,UVM2
56218.01,14.31,0.02,B
56218.01,14.37,0.04,I
56218.01,14.180000000000001,0.02,R
56218.01,14.19,0.02,V
56218.8249,15.224,0.046,UVW1
56218.826,14.245000000000001,0.042,U
56218.8265,14.222999999999999,0.043,B
56218.8281,15.955,0.051,UVW2
56218.8297,14.17,0.052000000000000005,V
56218.832,15.540999999999999,0.051,UVM2
56219.02,14.399999999999999,0.03,I
56219.02,14.25,0.03,R
56219.02,14.23,0.01,V
56219.32,14.28,0.05,B
56219.32,14.61,0.05,U
56219.32,15.66,0.06,UVM2
56219.32,15.299999999999999,0.06,UVW1
56219.32,15.93,0.05,UVW2
56219.32,14.219999999999999,0.05,V
56220.455,14.457999999999998,0.040999999999999995,U
56220.4712,16.329,0.053,UVW2
